,ZCTA,Total population,Total population Male,Total population Female,Total population Sex ratio (males per 100 females),Total population Under 5 years,Total population 5 to 9 years,Total population 10 to 14 years,Total population 15 to 19 years,Total population 20 to 24 years,Total population 25 to 34 years,Total population 35 to 44 years,Total population 45 to 54 years,Total population 55 to 59 years,Total population 60 to 64 years,Total population 65 to 74 years,Total population 75 to 84 years,Total population 85 years and over,Total population Median age (years),Total population Under 18 years,Total population 16 years and over,Total population 18 years and over,Total population 21 years and over,Total population 62 years and over,Total population 65 years and over,Total population 18 years and over.1,Total population 18 years and over Male,Total population 18 years and over Female,Total population 18 years and over Sex ratio (males per 100 females),Total population 65 years and over.1,Total population 65 years and over Male,Total population 65 years and over Female,Total population 65 years and over Sex ratio (males per 100 females),Total population One race,Total population Two or More Races,Total population One race.1,Total population One race White,Total population One race Black or African American,Total population One race American Indian and Alaska Native,Total population One race American Indian and Alaska Native Cherokee tribal grouping,Total population One race American Indian and Alaska Native Chippewa tribal grouping,Total population One race American Indian and Alaska Native Navajo tribal grouping,Total population One race American Indian and Alaska Native Sioux tribal grouping,Total population One race Asian,Total population One race Asian Asian Indian,Total population One race Asian Chinese,Total population One race Asian Filipino,Total population One race Asian Japanese,Total population One race Asian Korean,Total population One race Asian Vietnamese,Total population One race Asian Other Asian,Total population One race Native Hawaiian and Other Pacific Islander,Total population One race Native Hawaiian and Other Pacific Islander Chamorro,Total population One race Native Hawaiian and Other Pacific Islander Native Hawaiian,Total population One race Native Hawaiian and Other Pacific Islander Samoan,Total population One race Native Hawaiian and Other Pacific Islander Other Native Hawaiian and Other Pacific Islander,Total population One race Some Other Race,Total population Two or More Races.1,Total population Two or More Races White and Black or African American,Total population Two or More Races White and American Indian and Alaska Native,Total population Two or More Races White and Asian,Total population Two or More Races White and Some Other Race,Total population Two or More Races Black or African American and American Indian and Alaska Native,Total population Two or More Races Black or African American and Some Other Race,Total population White,Total population Black or African American,Total population American Indian and Alaska Native,Total population Asian,Total population Native Hawaiian and Other Pacific Islander,Total population Some Other Race,Total population Hispanic or Latino (of any race),Total population Hispanic or Latino (of any race) Mexican,Total population Hispanic or Latino (of any race) Puerto Rican,Total population Hispanic or Latino (of any race) Cuban,Total population Hispanic or Latino (of any race) Other Hispanic or Latino,Total population Not Hispanic or Latino,Total population Not Hispanic or Latino White alone,Total population Not Hispanic or Latino Black or African American alone,Total population Not Hispanic or Latino American Indian and Alaska Native alone,Total population Not Hispanic or Latino Asian alone,Total population Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Total population Not Hispanic or Latino Some Other Race alone,Total population Not Hispanic or Latino Two or More Races,Total population Not Hispanic or Latino Two or More Races Two races including Some Other Race,"Total population Not Hispanic or Latino Two or More Races Two races excluding Some Other Race, and three or more races","Citizen, 18 and over population","Citizen, 18 and over population Male","Citizen, 18 and over population Female"
383,81092,841,410,431,95.1,33,53,86,48,55,75,95,150,71,55,38,56,26,43.2,208,665,633,613,146,120,633,306,327,93.6,120,56,64,87.5,788,53,788,743,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,43,53,0,6,0,47,0,0,796,0,6,2,0,90,131,108,0,0,23,710,693,0,0,2,0,9,6,0,6,624,301,323
384,81101,"15,245","7,499","7,746",96.8,931,"1,112",997,"1,553","1,537","2,134","1,792","1,348",712,955,"1,484",488,202,32.6,"3,625","12,007","11,620","10,305","2,744","2,174","11,620","5,677","5,943",95.5,"2,174",981,"1,193",82.2,"12,529","2,716","12,529","10,116",177,713,0,18,62,82,352,0,168,21,13,43,85,22,44,38,6,0,0,"1,127","2,716",18,351,79,"2,129",0,0,"12,796",218,"1,180",475,80,"3,315","7,537","4,868",97,10,"2,562","7,708","6,732",172,79,335,6,78,306,52,254,"11,334","5,543","5,791"
385,81120,"2,043","1,115",928,120.2,56,68,99,92,212,191,201,223,188,172,354,159,28,50.2,271,"1,812","1,772","1,709",656,541,"1,772",994,778,127.8,541,281,260,108.1,"1,595",448,"1,595","1,417",0,70,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,448,6,20,0,359,0,18,"1,847",24,135,0,0,530,"1,348",488,23,0,837,695,676,0,0,0,0,19,0,0,0,"1,772",994,778
386,81121,357,252,105,240.0,9,0,17,19,30,11,0,150,20,21,38,21,21,52.6,40,331,317,300,86,80,317,221,96,230.2,80,43,37,116.2,238,119,238,148,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,119,0,17,0,102,0,0,267,0,28,0,0,181,173,5,0,0,168,184,148,0,11,0,0,8,17,0,17,307,214,93
387,81122,"9,125","4,802","4,323",111.1,448,526,768,373,249,"1,206","1,119","1,352",653,957,999,357,118,44.1,"1,981","7,279","7,144","6,970","2,025","1,474","7,144","3,776","3,368",112.1,"1,474",768,706,108.8,"8,772",353,"8,772","8,236",2,181,0,0,11,5,11,0,11,0,0,0,0,0,0,0,0,0,0,342,353,0,81,9,235,0,0,"8,589",30,262,48,0,577,"1,256",495,19,0,742,"7,869","7,357",2,161,11,0,171,167,97,70,"7,134","3,766","3,368"
388,81123,729,359,370,97.0,50,7,49,67,43,28,81,68,42,107,107,67,13,53.0,151,623,578,556,235,187,578,303,275,110.2,187,89,98,90.8,628,101,628,489,23,1,1,0,0,0,46,0,0,0,46,0,0,0,0,0,0,0,0,69,101,0,19,4,78,0,0,590,23,20,50,0,147,285,195,0,0,90,444,351,23,1,46,0,0,23,0,23,520,269,251
389,81124,356,187,169,110.7,47,22,51,11,0,56,12,79,39,0,39,0,0,33.0,129,227,227,225,39,39,227,116,111,104.5,39,20,19,105.3,309,47,309,69,0,59,0,0,0,19,2,0,0,2,0,0,0,0,0,0,0,0,0,179,47,0,11,0,0,0,0,116,0,106,8,0,209,303,273,0,0,30,53,2,0,38,2,0,0,11,0,11,225,114,111
390,81125,"3,562","1,698","1,864",91.1,194,163,263,316,278,444,434,384,419,151,329,153,34,38.4,794,"2,913","2,768","2,614",641,516,"2,768","1,335","1,433",93.2,516,258,258,100.0,"3,053",509,"3,053","2,727",96,48,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,509,0,111,22,350,0,0,"3,210",96,185,22,26,532,"2,326","1,262",0,0,"1,064","1,236","1,041",96,2,0,0,0,97,22,75,"2,487","1,173","1,314"
391,81126,371,167,204,81.9,33,0,4,23,27,100,19,46,0,13,73,33,0,32.8,37,334,334,311,112,106,334,163,171,95.3,106,53,53,100.0,118,253,118,43,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,253,0,0,0,238,0,0,296,0,78,0,0,265,371,42,0,0,329,0,0,0,0,0,0,0,0,0,0,334,163,171
392,81128,16,13,3,433.3,0,0,0,0,0,0,0,0,0,0,16,0,0,68.6,0,16,16,16,16,16,16,13,3,433.3,16,13,3,433.3,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,16,13,3
393,81129,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,81130,762,379,383,99.0,27,5,32,11,11,93,97,99,79,88,135,81,4,55.6,72,698,690,679,279,220,690,358,332,107.8,220,129,91,141.8,730,32,730,723,0,1,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,32,0,5,22,5,0,0,755,0,6,28,0,5,27,2,0,0,25,735,701,0,1,6,0,0,27,0,27,690,358,332
395,81131,998,522,476,109.7,27,35,1,0,0,15,122,69,62,133,442,63,29,65.7,63,935,935,935,661,534,935,494,441,112.0,534,222,312,71.2,955,43,955,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,998,0,43,0,0,0,26,0,0,0,26,972,929,0,0,0,0,0,43,0,43,929,489,440
396,81132,"3,278","1,786","1,492",119.7,329,163,237,88,113,280,513,322,125,302,561,187,58,43.6,779,"2,534","2,499","2,433",942,806,"2,499","1,392","1,107",125.7,806,420,386,108.8,"2,948",330,"2,948","2,755",15,71,6,0,38,0,0,0,0,0,0,0,0,0,15,0,15,0,0,92,330,37,142,0,138,0,0,"3,072",52,220,6,21,237,"1,141",701,5,0,435,"2,137","1,910",15,44,0,15,0,153,0,153,"2,480","1,384","1,096"
397,81133,"1,109",515,594,86.7,30,102,80,38,122,71,100,77,61,142,233,53,0,48.6,250,892,859,793,367,286,859,410,449,91.3,286,150,136,110.3,940,169,940,898,5,13,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,22,169,8,5,0,81,0,0,"1,067",72,34,2,0,178,589,446,8,0,135,520,491,5,10,2,0,0,12,0,12,823,391,432
398,81136,440,210,230,91.3,12,71,31,58,71,51,63,14,6,25,16,12,10,22.9,139,323,301,268,51,38,301,150,151,99.3,38,19,19,100.0,379,61,379,337,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,61,0,17,0,44,0,0,398,8,17,0,0,78,200,128,0,0,72,240,215,0,0,0,0,8,17,0,17,220,104,116
399,81137,"5,495","2,777","2,718",102.2,221,224,468,351,444,516,686,797,404,397,644,253,90,42.4,"1,140","4,501","4,355","4,116","1,162",987,"4,355","2,155","2,200",98.0,987,519,468,110.9,"5,073",422,"5,073","3,857",5,"1,054",9,18,263,20,19,2,0,14,0,0,3,0,1,0,0,0,1,137,422,0,102,0,247,0,0,"4,271",12,"1,223",28,7,437,"1,284",411,10,0,863,"4,211","3,084",5,936,11,0,41,134,18,116,"4,322","2,128","2,194"
400,81138,39,21,18,116.7,0,0,0,0,0,0,0,0,5,16,5,13,0,64.9,0,39,39,39,34,18,39,21,18,116.7,18,5,13,38.5,16,23,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,39,0,23,0,0,0,16,16,0,0,0,23,0,0,0,0,0,0,23,0,23,23,5,18
401,81140,"2,032",943,"1,089",86.6,160,172,212,133,117,210,267,160,84,164,184,161,8,35.4,653,"1,466","1,379","1,293",481,353,"1,379",614,765,80.3,353,189,164,115.2,"1,710",322,"1,710","1,547",11,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,322,0,38,0,278,0,0,"1,869",11,57,0,0,423,763,313,0,0,450,"1,269","1,185",11,0,0,0,63,10,1,9,"1,364",613,751
402,81141,"1,012",525,487,107.8,73,88,48,60,27,125,179,89,49,82,99,58,35,41.0,245,794,767,718,250,192,767,396,371,106.7,192,94,98,95.9,805,207,805,716,0,48,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,207,0,4,10,136,0,0,923,0,109,10,0,234,478,184,0,0,294,534,485,0,35,0,0,0,14,0,14,761,390,371
403,81143,766,437,329,132.8,6,21,52,90,0,47,75,66,46,120,182,56,5,58.6,155,665,611,597,268,243,611,322,289,111.4,243,146,97,150.5,730,36,730,680,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,11,19,0,6,0,0,716,11,64,0,0,11,53,53,0,0,0,713,664,0,19,0,0,0,30,0,30,603,322,281
404,81144,"6,766","3,330","3,436",96.9,247,308,675,391,449,541,"1,478",573,509,441,590,349,215,39.4,"1,484","5,444","5,282","5,005","1,471","1,154","5,282","2,517","2,765",91.0,"1,154",520,634,82.0,"5,607","1,159","5,607","4,850",19,95,0,0,3,0,9,0,0,0,9,0,0,0,0,0,0,0,0,634,"1,159",37,44,0,727,0,0,"5,972",57,422,110,0,"1,712","3,523","1,652",33,5,"1,833","3,243","3,060",19,35,9,0,0,120,31,89,"5,114","2,397","2,717"
405,81146,820,501,319,157.1,35,48,95,84,61,69,145,45,66,18,83,60,11,36.1,201,636,619,553,163,154,619,380,239,159.0,154,77,77,100.0,760,60,760,696,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,60,60,0,14,0,14,0,0,756,0,46,4,0,106,153,92,0,0,61,667,625,0,0,4,0,20,18,0,18,596,373,223
406,81147,"12,879","6,391","6,488",98.5,558,806,612,579,418,"1,200","1,650","1,294",910,"1,422","2,391",834,205,49.8,"2,326","10,779","10,553","10,287","4,146","3,430","10,553","5,180","5,373",96.4,"3,430","1,713","1,717",99.8,"12,331",548,"12,331","10,410",47,278,0,0,5,59,73,15,28,0,0,30,0,0,14,0,14,0,0,"1,509",548,11,252,29,175,0,4,"10,938",62,546,102,75,"1,704","2,305",575,24,0,"1,706","10,574","9,882",47,146,73,14,37,375,22,353,"10,304","5,048","5,256"
407,81148,365,202,163,123.9,18,25,25,24,19,51,88,24,8,21,29,12,21,38.7,81,291,284,270,75,62,284,172,112,153.6,62,41,21,195.2,252,113,252,165,0,18,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,67,113,0,19,0,90,0,0,274,0,37,6,0,161,293,187,0,0,106,72,47,0,6,0,0,0,19,0,19,262,158,104
408,81149,"1,019",623,396,157.3,13,72,23,18,44,106,67,180,125,94,151,65,61,53.2,125,911,894,882,335,277,894,545,349,156.2,277,171,106,161.3,942,77,942,779,0,0,0,0,0,0,71,0,0,71,0,0,0,0,0,0,0,0,0,92,77,0,33,0,44,0,0,856,0,33,71,0,136,250,104,0,0,146,769,659,0,0,71,0,0,39,14,25,885,545,340
409,81151,"1,708",838,870,96.3,106,105,192,124,139,118,169,202,104,91,249,95,14,38.0,507,"1,262","1,201","1,138",403,358,"1,201",575,626,91.9,358,142,216,65.7,"1,298",410,"1,298","1,176",0,32,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,410,0,46,0,349,0,0,"1,586",0,93,0,0,454,716,345,9,1,361,992,918,0,28,0,0,0,46,0,46,"1,157",559,598
410,81152,"1,187",662,525,126.1,53,49,63,35,42,153,106,145,112,118,173,126,12,54.0,193,"1,022",994,970,345,311,994,582,412,141.3,311,182,129,141.1,899,288,899,737,10,43,10,0,0,0,8,0,0,1,0,0,0,7,0,0,0,0,0,101,288,0,60,0,213,0,0,"1,025",10,118,8,0,329,824,426,8,0,390,363,280,10,0,8,0,0,65,11,54,948,548,400
411,81154,"1,203",616,587,104.9,50,61,26,81,43,110,84,195,79,89,284,92,9,51.7,218,"1,054",985,968,422,385,985,476,509,93.5,385,190,195,97.4,"1,178",25,"1,178","1,128",0,2,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,40,25,0,13,3,9,0,0,"1,153",0,15,11,0,49,72,23,0,1,48,"1,131","1,105",0,2,8,0,0,16,0,16,979,470,509
412,81155,260,120,140,85.7,3,0,0,6,0,4,11,17,23,70,100,21,5,63.9,9,257,251,251,173,126,251,117,134,87.3,126,88,38,231.6,260,0,260,244,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,16,0,0,0,0,0,0,0,0,260,244,0,16,0,0,0,0,0,0,251,117,134
413,81201,"8,922","4,224","4,698",89.9,457,444,350,376,347,"1,040","1,171","1,010",459,741,"1,590",746,191,47.0,"1,511","7,619","7,411","7,225","2,969","2,527","7,411","3,371","4,040",83.4,"2,527","1,120","1,407",79.6,"8,260",662,"8,260","7,923",0,31,0,0,31,0,144,1,22,0,0,92,14,15,0,0,0,0,0,162,662,4,379,11,170,0,44,"8,496",48,419,200,45,385,"1,090",740,87,64,199,"7,832","7,281",0,0,122,0,0,429,34,395,"7,356","3,348","4,008"
414,81210,301,205,96,213.5,0,18,17,0,0,5,39,0,14,43,165,0,0,65.3,35,266,266,266,190,165,266,186,80,232.5,165,108,57,189.5,270,31,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,301,0,0,0,0,31,31,0,0,0,31,270,270,0,0,0,0,0,0,0,0,240,160,80
415,81211,"8,007","4,706","3,301",142.6,155,383,194,265,561,"1,284",926,926,762,777,"1,019",414,341,47.0,944,"7,252","7,063","6,971","2,249","1,774","7,063","4,195","2,868",146.3,"1,774",884,890,99.3,"7,637",370,"7,637","7,173",207,53,0,0,0,0,74,0,0,0,0,52,0,22,74,0,0,0,74,56,370,0,32,11,311,0,0,"7,543",207,101,85,74,383,636,209,0,100,327,"7,371","6,915",207,27,74,74,56,18,0,18,"6,740","3,911","2,829"
416,81212,"32,146","18,460","13,686",134.9,"1,450","1,352","1,600","1,338","1,687","4,823","4,016","3,875","2,620","2,210","4,161","2,064",950,44.3,"5,366","27,452","26,780","26,241","8,388","7,175","26,780","15,673","11,107",141.1,"7,175","3,306","3,869",85.4,"30,162","1,984","30,162","27,889","1,145",447,66,0,23,0,227,9,98,2,0,41,4,73,0,0,0,0,0,454,"1,984",116,321,264,"1,186",0,0,"29,873","1,311",859,491,0,"1,693","4,510","1,405",180,5,"2,920","27,636","25,114","1,063",326,227,0,135,771,108,663,"26,549","15,458","11,091"
417,81220,132,55,77,71.4,0,0,0,0,12,0,17,8,9,36,30,14,6,62.6,0,132,132,126,82,50,132,55,77,71.4,50,24,26,92.3,132,0,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,132,132,0,0,0,0,0,0,0,0,132,55,77
418,81221,452,254,198,128.3,27,0,12,60,70,50,81,11,11,26,79,21,4,36.5,89,395,363,353,118,104,363,205,158,129.7,104,46,58,79.3,395,57,395,378,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,57,0,0,0,0,435,0,74,0,0,0,76,11,0,0,65,376,310,0,9,0,0,0,57,0,57,363,205,158
419,81222,379,159,220,72.3,0,0,44,29,0,0,39,96,46,107,0,0,18,48.8,44,335,335,306,38,18,335,134,201,66.7,18,0,18,-,379,0,379,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,379,379,0,0,0,0,0,0,0,0,335,134,201
420,81223,"2,023","1,035",988,104.8,30,5,67,34,36,108,132,334,95,277,547,336,22,62.3,128,"1,895","1,895","1,887","1,033",905,"1,895",980,915,107.1,905,521,384,135.7,"1,972",51,"1,972","1,930",39,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,51,0,22,0,0,0,0,"1,981",39,51,3,0,29,76,29,0,0,47,"1,947","1,892",39,0,3,0,0,13,0,13,"1,895",980,915
421,81224,"3,431","1,896","1,535",123.5,130,250,191,129,161,331,724,828,182,265,154,86,0,42.3,681,"2,849","2,750","2,731",322,240,"2,750","1,547","1,203",128.6,240,132,108,122.2,"3,306",125,"3,306","3,195",0,5,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,56,125,0,0,0,60,0,0,"3,320",0,70,50,0,181,198,25,32,0,141,"3,233","3,155",0,2,0,0,56,20,20,0,"2,729","1,539","1,190"
422,81225,"1,028",541,487,111.1,57,33,11,0,45,202,275,173,57,61,72,29,13,43.4,101,927,927,927,152,114,927,479,448,106.9,114,46,68,67.6,"1,000",28,"1,000","1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,"1,028",0,28,0,0,0,15,15,0,0,0,"1,013",985,0,0,0,0,0,28,0,28,892,444,448
423,81226,"8,221","5,598","2,623",213.4,215,260,238,459,371,"1,350","1,448","1,413",646,483,932,320,86,43.3,908,"7,414","7,313","7,026","1,595","1,338","7,313","5,036","2,277",221.2,"1,338",721,617,116.9,"7,796",425,"7,796","6,757",696,219,3,0,22,0,54,0,0,5,19,0,10,20,0,0,0,0,0,70,425,14,172,1,167,14,25,"7,116",763,423,69,0,280,"1,343",492,0,61,790,"6,878","5,731",671,169,54,0,3,250,35,215,"7,134","4,857","2,277"
424,81227,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,81228,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,81230,"10,694","5,799","4,895",118.5,362,381,500,"1,136","2,031","1,820","1,214",879,444,538,824,445,120,30.4,"1,695","9,249","8,999","8,016","1,699","1,389","8,999","4,804","4,195",114.5,"1,389",721,668,107.9,"9,986",708,"9,986","9,429",182,77,0,0,19,13,102,0,36,25,0,31,0,10,25,0,0,25,0,171,708,23,129,209,297,0,0,"10,137",205,206,336,50,493,"1,409","1,116",0,0,293,"9,285","8,578",91,16,102,25,21,452,93,359,"8,833","4,716","4,117"
427,81232,32,17,15,113.3,0,0,0,0,0,0,0,0,0,0,0,32,0,-,0,32,32,32,32,32,32,17,15,113.3,32,17,15,113.3,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,32,17,15
428,81233,"1,019",559,460,121.5,24,30,48,22,11,219,134,61,61,66,249,87,7,48.2,116,917,903,884,380,343,903,527,376,140.2,343,192,151,127.2,"1,000",19,"1,000",917,28,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,34,19,0,8,11,0,0,0,936,28,8,11,21,34,48,0,0,0,48,971,917,8,0,0,21,6,19,0,19,882,506,376
429,81235,829,386,443,87.1,23,40,29,21,11,109,80,86,70,102,167,87,4,56.2,101,737,728,716,332,258,728,345,383,90.1,258,121,137,88.3,774,55,774,752,9,12,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,9,0,5,0,0,784,50,21,42,0,5,10,10,0,0,0,819,747,9,12,1,0,0,50,0,50,724,341,383
430,81236,"1,738",846,892,94.8,89,148,106,30,4,51,299,189,86,69,476,159,32,50.8,373,"1,376","1,365","1,361",696,667,"1,365",677,688,98.4,667,341,326,104.6,"1,651",87,"1,651","1,651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,29,0,0,"1,738",0,58,0,0,87,109,109,0,0,0,"1,629","1,629",0,0,0,0,0,0,0,0,"1,365",677,688
431,81237,143,57,86,66.3,0,0,0,0,33,4,6,0,32,35,12,21,0,56.8,0,143,143,110,46,33,143,57,86,66.3,33,21,12,175.0,143,0,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,143,143,0,0,0,0,0,0,0,0,143,57,86
432,81239,134,77,57,135.1,0,0,0,0,0,0,0,13,33,11,66,11,0,72.2,0,134,134,134,88,77,134,77,57,135.1,77,66,11,600.0,134,0,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,134,134,0,0,0,0,0,0,0,0,134,77,57
433,81240,"4,386","2,201","2,185",100.7,268,459,298,98,254,463,574,547,248,371,474,291,41,41.6,"1,112","3,294","3,274","3,249","1,037",806,"3,274","1,677","1,597",105.0,806,410,396,103.5,"4,162",224,"4,162","4,149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,5,224,83,18,0,119,0,0,"4,373",87,22,0,8,124,444,222,0,60,162,"3,942","3,828",0,0,0,8,5,101,26,75,"3,241","1,658","1,583"
434,81241,178,65,113,57.5,0,0,42,0,4,11,9,22,9,61,16,4,0,59.1,42,136,136,132,31,20,136,36,100,36.0,20,6,14,42.9,178,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,0,0,0,0,136,36,100
435,81242,913,447,466,95.9,66,0,35,42,2,79,153,179,68,116,146,27,0,52.3,101,812,812,770,198,173,812,409,403,101.5,173,114,59,193.2,815,98,815,807,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,98,0,36,0,62,0,0,905,0,36,8,0,62,133,133,0,0,0,780,736,0,0,8,0,0,36,0,36,805,409,396
436,81243,118,57,61,93.4,0,0,11,0,12,4,13,14,9,11,32,10,2,58.2,11,107,107,107,50,44,107,51,56,91.1,44,24,20,120.0,118,0,118,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,0,0,0,0,0,107,51,56
437,81244,553,348,205,169.8,0,17,61,75,12,40,68,85,63,41,57,30,4,46.5,150,463,403,395,113,91,403,220,183,120.2,91,50,41,122.0,524,29,524,523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,2,12,6,0,0,552,9,3,12,0,6,209,2,153,0,54,344,326,0,1,0,0,0,17,6,11,401,220,181
438,81248,197,102,95,107.4,30,0,17,0,0,43,54,21,0,0,0,25,7,37.2,47,150,150,150,32,32,150,72,78,92.3,32,18,14,128.6,197,0,197,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,197,197,0,0,0,0,0,0,0,0,150,72,78
439,81251,351,178,173,102.9,0,0,11,13,0,8,25,50,24,64,134,22,0,63.6,24,340,327,327,208,156,327,154,173,89.0,156,43,113,38.1,351,0,351,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,28,0,0,0,28,323,323,0,0,0,0,0,0,0,0,327,154,173
440,81252,"4,060","1,994","2,066",96.5,80,146,256,370,89,254,250,418,375,638,910,149,125,58.0,729,"3,475","3,331","3,183","1,343","1,184","3,331","1,569","1,762",89.0,"1,184",547,637,85.9,"3,999",61,"3,999","3,779",70,4,0,3,0,0,56,11,0,22,10,0,0,13,0,0,0,0,0,90,61,7,3,18,33,0,0,"3,840",77,7,74,0,123,83,72,0,5,6,"3,977","3,729",70,4,56,0,66,52,24,28,"3,269","1,528","1,741"
441,81253,457,203,254,79.9,0,0,33,0,42,7,35,38,38,117,42,98,7,61.4,33,424,424,424,183,147,424,170,254,66.9,147,75,72,104.2,457,0,457,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,389,0,0,0,0,68,0,0,0,0,0,457,389,0,0,0,0,68,0,0,0,417,170,247
442,81301,"29,894","15,198","14,696",103.4,"1,217","1,435","1,309","2,099","2,519","3,599","4,265","3,381","2,103","2,185","3,792","1,566",424,41.3,"4,721","25,601","25,173","23,296","7,224","5,782","25,173","12,653","12,520",101.1,"5,782","2,888","2,894",99.8,"27,989","1,905","27,989","25,375",108,"1,843",79,0,"1,313",7,247,16,67,6,100,0,19,39,42,0,42,0,0,374,"1,905",14,860,88,827,0,0,"27,240",143,"2,793",375,59,"1,260","2,426","1,096",52,84,"1,194","27,468","24,164",93,"1,702",247,0,128,"1,134",318,816,"24,976","12,560","12,416"
